index,title,combine,overview,cast
396,Enemy of the State,Action Drama Thrillercorruption washington d.c. helicopter falsely accused identityIt's not paranoia if they're really after you.Will Smith Gene Hackman Jon Voight Regina King Ian HartTony Scott,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",Will Smith Gene Hackman Jon Voight Regina King Ian Hart
397,It's Complicated,Comedy Romancegraduation ex husband woman directorFirst comes marriage. Then comes divorce. And then...Meryl Streep Alec Baldwin Steve Martin John Krasinski Lake BellNancy Meyers,"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life – just when she thought she had it all figured out.",Meryl Streep Alec Baldwin Steve Martin John Krasinski Lake Bell
398,Ocean's Thirteen,Crime Thrillercasino thief revenge heist las vegasWhat are the odds of getting even? 13 to one.George Clooney Brad Pitt Matt Damon Al Pacino Bernie MacSteven Soderbergh,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",George Clooney Brad Pitt Matt Damon Al Pacino Bernie Mac
399,Open Season,Adventure Animation Familyhunter mountains garage grizzly bear bunnyOne Fur All & All Fur OneMartin Lawrence Ashton Kutcher Gary Sinise Debra Messing Billy ConnollyJill Culton,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",Martin Lawrence Ashton Kutcher Gary Sinise Debra Messing Billy Connolly
400,Divergent,Adventure Action Science Fictionbased on novel dystopia youth dystopic future caste systemWhat makes you different makes you dangerous.Shailene Woodley Theo James Kate Winslet Miles Teller Ray StevensonNeil Burger,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Shailene Woodley Theo James Kate Winslet Miles Teller Ray Stevenson
401,Enemy at the Gates,Warwinter sniper world war ii stalingradSome Men Are Born To Be Heroes.Jude Law Rachel Weisz Ed Harris Joseph Fiennes Bob HoskinsJean-Jacques Annaud,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,Jude Law Rachel Weisz Ed Harris Joseph Fiennes Bob Hoskins
402,The Rundown,"Adventure Action Comedy Thrillerhunter bounty bounty hunter fight amazoncut to the chaseDwayne Johnson Seann William Scott Rosario Dawson Christopher Walken Ernie Reyes, Jr.Peter Berg","When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.","Dwayne Johnson Seann William Scott Rosario Dawson Christopher Walken Ernie Reyes, Jr."
403,Last Action Hero,Adventure Fantasy Action Comedy Familymagic movie in movie spoof magical object cartoon catThis isn't the movies anymore.Arnold Schwarzenegger F. Murray Abraham Art Carney Charles Dance Frank McRaeJohn McTiernan,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",Arnold Schwarzenegger F. Murray Abraham Art Carney Charles Dance Frank McRae
404,Memoirs of a Geisha,"Drama History Romancejapan prostitute sister sister relationship brothel world war iiMy world is as forbidden as it is fragile; without its mysteries, it cannot survive.Zhang Ziyi Gong Li Youki Kudoh Tsai Chin Suzuka OhgoRob Marshall","A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",Zhang Ziyi Gong Li Youki Kudoh Tsai Chin Suzuka Ohgo
405,The Fast and the Furious: Tokyo Drift,"Action Crime Drama Thrillercar race car journey car mechanic auto car garageOn the streets of Tokyo, speed needs no translation...Lucas Black Nathalie Kelley Sung Kang Shad Moss Brian TeeJustin Lin","In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",Lucas Black Nathalie Kelley Sung Kang Shad Moss Brian Tee
406,Arthur Christmas,Drama Animation Family Comedyholiday santa claus duringcreditsstinger woman director christmasEver wonder how 2 Billion presents get delivered all in 1 night?James McAvoy Hugh Laurie Bill Nighy Jim Broadbent Imelda StauntonBarry Cook,"Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in one night. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one – Arthur. Arthur Claus is Santa’s misfit son who executes an unauthorized rookie mission to get the last present half way around the globe before dawn on Christmas morning.",James McAvoy Hugh Laurie Bill Nighy Jim Broadbent Imelda Staunton
407,Meet Joe Black,Fantasy Drama Mysterylife and death love at first sight broken engagement fireworks religion and supernaturalSooner or later everyone does.Brad Pitt Anthony Hopkins Claire Forlani Jeffrey Tambor Marcia Gay HardenMartin Brest,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",Brad Pitt Anthony Hopkins Claire Forlani Jeffrey Tambor Marcia Gay Harden
408,Collateral Damage,Action Thriller Dramaterrorist fbi colombia firemen revengeWhat would you do if you lost everything?Arnold Schwarzenegger Francesca Neri Elias Koteas Cliff Curtis John TurturroAndrew Davis,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,Arnold Schwarzenegger Francesca Neri Elias Koteas Cliff Curtis John Turturro
409,All That Jazz,Drama Musicshow business film making tap dancing movie in movie divorceAll that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.Roy Scheider Jessica Lange Leland Palmer Ann Reinking Ben VereenBob Fosse,"Bob Fosse's semi-autobiographical film celebrates show business stripped of glitz or giddy illusions. Joe Gideon (Roy Scheider) is at the top of the heap, one of the most successful directors and choreographers in musical theatre. But he can feel his world slowly collapsing around him--his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",Roy Scheider Jessica Lange Leland Palmer Ann Reinking Ben Vereen
410,Mirror Mirror,Adventure Fantasy Drama Comedy Science Fictionattempted murder fairy tale black magic cockroach villainessThe Snow White legend comes alive.Julia Roberts Lily Collins Armie Hammer Nathan Lane Martin KlebbaTarsem Singh,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",Julia Roberts Lily Collins Armie Hammer Nathan Lane Martin Klebba
411,Scott Pilgrim vs. the World,Action Adventure Comedywhipping hipster underage girlfriend animated flashback character's point of view camera shotGet the hot girl. Defeat her evil exes. Hit love where it hurts.Michael Cera Mary Elizabeth Winstead Kieran Culkin Chris Evans Anna KendrickEdgar Wright,"Scott Pilgrim is a film adaptation of the critically acclaimed, award-winning series of graphic novels of the same name by Canadian cartoonist Bryan Lee O’Malley. Scott Pilgrim is a 23 year old Canadian slacker and wannabe rockstar who falls in love with an American delivery girl, Ramona V. Flowers, and must defeat her seven ""evil exes"" to be able to date her.",Michael Cera Mary Elizabeth Winstead Kieran Culkin Chris Evans Anna Kendrick
412,The Core,Action Thriller Adventure Science Fictionmagnetic field center of the earth disaster filmEarth has a deadline.Aaron Eckhart Hilary Swank Delroy Lindo Stanley Tucci Tch\u00e9ky KaryoJon Amiel,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",Aaron Eckhart Hilary Swank Delroy Lindo Stanley Tucci Tch\u00e9ky Karyo
413,Nutty Professor II: The Klumps,Fantasy Comedy Romance Science Fictionalter ego mad scientist family dean duringcreditsstingerThe Klumps are back!Eddie Murphy Janet Jackson Larry Miller John Ales Richard GantPeter Segal,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",Eddie Murphy Janet Jackson Larry Miller John Ales Richard Gant
414,Scooby-Doo,Mystery Adventure Comedyamateur detective voodoo resort crime solvingGet a ClueFreddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Rowan AtkinsonRaja Gosnell,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Rowan Atkinson
